WormBase Id,Public Name,stage_4_cell,stage_E_div,stage_4_AB_div,stage_5_AB_div,stage_6_AB_div,stage_7_AB_div,stage_VE,stage_CS,stage_Mov,stage_L1
WBGene00020634,acs-9,1.1194,4.1997,4.1481,3.4142,2.6828,1.9439,1.1155,1.551,3.2688,3.2493
WBGene00000066,act-4,5.4222,5.377,5.3528,5.354,5.3415,5.2714,5.2745,5.2379,5.1827,5.4022
WBGene00000067,act-5,5.154,5.1617,5.1281,5.0519,4.9452,4.7856,4.9505,4.9527,5.0056,5.306
WBGene00000068,acy-1,2.2088,2.5484,2.3744,2.2983,2.3594,1.9101,3.6387,4.341,4.7797,4.4828
WBGene00000069,acy-2,0.88251,1.4282,1.2785,0.58065,1.6648,2.445,1.3676,2.2109,3.4794,3.8788
WBGene00000070,acy-3,0.6147,1.1174,0.91011,0.6712,1.1931,1.2404,2.7811,2.8578,3.4846,3.4608
WBGene00000071,acy-4,1.4939,1.7051,0.78025,0.6796,1.2337,2.1739,3.4403,3.719,3.2661,3.9443
WBGene00017967,ada-2,4.5611,4.8012,4.5503,4.3075,4.6213,4.7023,4.5841,4.587,4.3042,4.0937
WBGene00012157,adbp-1,5.046,5.1075,5.0166,4.6186,4.6441,4.8807,4.8507,4.7988,4.7134,4.2855
WBGene00000072,add-1,1.4921,2.9334,2.4488,2.4025,1.8468,1.3214,2.0491,2.9236,2.8447,3.863
WBGene00000073,add-2,5.0057,5.1293,5.0797,5.0742,4.9689,4.9221,4.6198,4.6515,4.6761,4.7083
WBGene00000074,adm-2,3.8693,3.652,2.7265,2.643,2.8446,2.9753,3.2336,3.3127,3.6031,3.4637
WBGene00000075,adm-4,4.3857,4.1038,3.2492,2.9734,3.0847,3.3502,3.384,3.5049,3.4451,3.7925
WBGene00044440,adpr-1,1.8639,2.0097,2.0678,2.1119,1.8389,1.7211,1.3374,1.6114,1.7338,1.203
WBGene00000080,adr-2,4.5474,4.7635,4.5657,4.2979,3.9943,4.3326,4.3737,4.2933,3.7546,3.6465
WBGene00000081,ads-1,1.7992,3.5115,3.5636,3.5549,3.5242,3.8439,4.8023,5.0311,5.1126,5.1684
WBGene00000082,adt-1,0.65851,1.549,0.77011,0.5811,0.42024,0.74733,1.6891,1.4945,1.1846,0.99919
WBGene00000083,adt-2,0.64516,1.2769,1.0561,1.0533,1.3004,1.7657,3.3092,3.2967,2.9988,4.2958
WBGene00000084,aex-1,0.88311,2.029,1.4069,1.1161,0.75694,1.0472,1.5343,1.6517,3.0445,4.0247
WBGene00000085,aex-2,0.61242,1.0667,0.88835,0.92828,0.43711,0.3881,0.38254,1.3511,2.8804,3.5985
WBGene00000086,aex-3,2.2554,2.8592,2.7012,2.2606,1.761,1.6896,4.1193,4.5372,4.6283,4.1728
WBGene00006454,aex-4,0.62958,1.0585,0.90524,0.56954,0.38512,0.76861,0.47835,0.7687,2.8487,4.1369
WBGene00000088,aex-5,1.3448,1.4505,0.9411,1.3092,1.0291,1.3169,2.2189,2.82,2.9895,4.7883
WBGene00000089,aex-6,1.4535,2.8234,2.7158,2.8483,2.817,2.7322,2.4278,2.7732,3.0626,4.3249
WBGene00021009,afd-1,3.4075,3.1347,2.554,2.6776,3.2171,3.9614,4.5317,4.3076,3.9362,3.9288
WBGene00016625,aff-1,2.6644,3.0132,2.6115,1.9441,1.9628,2.2855,3.7987,4.5298,4.9785,3.6947
WBGene00000090,age-1,4.6437,4.6252,3.8409,2.9489,3.3142,3.8585,3.9385,3.8377,3.901,3.9038
WBGene00012386,agef-1,1.7908,2.1768,1.3392,0.72451,1.1772,1.4173,1.9905,1.675,2.0439,2.0175
WBGene00018304,agr-1,0.79098,1.2294,0.93567,0.82873,0.87818,1.2159,2.2056,3.2984,3.4522,1.9997
WBGene00000092,ags-3,4.4273,4.5699,4.3161,4.344,4.5278,4.6845,4.6989,4.6444,4.5503,4.3099
WBGene00000093,agt-1,4.8843,4.8711,4.7451,4.4303,4.268,4.5276,4.7133,4.7549,4.5096,4.5677
WBGene00000094,agt-2,3.6231,3.4422,2.8583,2.652,2.8876,3.1086,3.0341,2.832,2.7741,2.5041
WBGene00007083,AH10.2,4.0942,4.4402,3.1931,1.7835,1.7113,1.527,1.9276,2.6045,3.2685,1.9919
WBGene00007084,AH10.3,0.58954,1.0129,0.67596,0.5235,0.3198,0.36665,1.0706,1.8605,2.2615,1.1869
WBGene00007085,AH10.4,2.7797,3.5223,3.4368,2.8599,2.6414,2.6736,2.6396,2.9516,3.5357,2.7296
WBGene00007081,AH6.3,0.62698,1.037,1.3083,0.98666,1.0114,0.75636,1.3095,1.7001,2.0544,1.2419
WBGene00014998,AH9.1,2.5918,2.4945,2.2041,2.5506,2.3794,2.3432,1.7792,1.937,2.3004,3.5131
WBGene00014999,AH9.3,4.9139,5.0199,4.9588,5.023,5.1134,5.1771,5.0761,5.1281,4.7939,4.1897
WBGene00015000,AH9.4,1.5069,1.6654,1.4694,1.123,1.3969,1.6746,1.8266,1.71,2.0475,3.266
WBGene00044701,AH9.6,1.2483,1.4809,1.0741,1.1736,1.0329,1.1937,1.2689,2.3247,2.7775,4.5347
WBGene00000095,aha-1,4.0043,4.3135,3.8738,3.0647,3.7575,4.1536,4.2217,4.3896,4.1658,3.8564
WBGene00019322,ahcy-1,5.2503,5.2214,5.1531,5.1431,5.0739,5.086,5.1594,5.0705,4.9604,5.4291
WBGene00000096,ahr-1,0.94022,2.2537,2.2187,1.7181,0.51915,0.47408,2.7917,2.7965,3.0895,2.699
WBGene00015547,ain-1,3.8086,3.9367,3.6081,3.7483,4.3634,4.6604,4.7513,4.5632,4.4371,3.8846
WBGene00015007,ain-2,3.3809,3.6883,3.3337,3.1039,3.0179,3.1469,3.0469,2.8794,2.7645,2.8083
WBGene00000097,aip-1,4.2496,4.1857,3.7374,3.3506,3.5209,4.0682,4.1687,4.056,3.8014,3.7033
WBGene00010685,aipl-1,5.3526,5.3069,5.2609,5.1825,5.109,5.2216,5.175,5.093,4.7782,4.8783
WBGene00000098,air-1,5.2772,5.1637,5.0462,4.9111,5.0309,5.0775,4.8579,4.6367,3.924,4.4483
WBGene00000099,air-2,4.8497,4.9509,4.8479,4.7028,4.7962,4.9204,4.7572,4.537,3.5892,3.9319
WBGene00000100,ajm-1,3.8329,3.9345,3.5765,3.3003,2.7172,2.6903,3.9258,4.5077,4.8015,4.0506
WBGene00000101,aka-1,4.9966,4.8119,4.4506,4.3106,4.4767,4.6623,4.6202,4.596,4.4807,4.4971
WBGene00000102,akt-1,4.9162,4.9946,4.7848,4.2361,3.7196,4.0924,4.1253,4.2965,4.2599,4.153
WBGene00000103,akt-2,3.0431,3.4478,3.1727,3.0743,2.9359,3.0864,3.1141,3.5715,3.4068,4.0137
WBGene00011474,aldo-1,2.7587,2.9639,3.0957,3.3673,3.9653,4.0827,3.5601,3.5787,3.6214,4.7247
WBGene00017166,aldo-2,5.4293,5.3796,5.3984,5.3971,5.3031,5.2673,4.8239,5.0861,5.2806,5.3981
WBGene00000105,alg-1,3.8328,4.1451,3.6499,3.2402,3.3554,3.7501,3.9129,3.6698,3.6413,3.4812
WBGene00000106,alg-2,2.8112,3.19,2.909,2.9172,3.1157,3.3899,3.1032,2.8383,2.7241,2.2881
WBGene00000107,alh-1,5.2772,5.0951,5.0382,5.125,5.1154,5.1624,5.2072,5.2636,5.2274,5.2947
WBGene00000116,alh-10,2.1473,3.3983,3.74,4.2511,4.4455,4.623,5.0594,5.1633,5.0242,4.9172
WBGene00000117,alh-11,4.8055,4.6782,4.3749,4.3247,4.6014,4.7612,4.8467,4.9201,4.7233,4.8455
WBGene00000118,alh-12,1.3878,2.9438,4.4299,4.9343,5.1078,5.2133,4.7356,4.5713,4.6196,5.186
